layer,final_vs_top1,final_vs_topk,top1_vs_topk
1,0.63134765625,0.6348987817764282,0.9938883781433105
2,0.619140625,0.6192907094955444,0.999897301197052
3,0.5595703125,0.6216474771499634,0.9797487258911133
4,0.1573486328125,0.35274073481559753,0.9649057984352112
5,0.74365234375,0.7509565949440002,0.996122419834137
6,0.81640625,0.8176095485687256,0.9995331168174744
7,0.8076171875,0.8128788471221924,0.9982286095619202
8,0.80712890625,0.8073728084564209,0.9991466999053955
9,0.841796875,0.8426082730293274,0.9993985891342163
10,0.83642578125,0.8412342071533203,0.9982568025588989
11,0.8291015625,0.8285356760025024,1.0000832080841064
12,0.87744140625,0.8774574398994446,0.9998728036880493
13,0.8701171875,0.8709388971328735,0.9998103976249695
14,0.86865234375,0.8693520426750183,0.9988995790481567
15,0.8876953125,0.8971747756004333,0.9932491183280945
16,0.875,0.8751551508903503,0.9997768998146057
17,0.90966796875,0.9100554585456848,0.9985357522964478
18,0.90625,0.9076591730117798,0.9984294176101685
19,0.90478515625,0.9178564548492432,0.9962031245231628
20,0.72314453125,0.8532568216323853,0.9585646390914917
21,0.92236328125,0.935474157333374,0.9967936873435974
22,0.93359375,0.9336711168289185,0.9999881982803345
23,0.93310546875,0.9327444434165955,0.9999380707740784
24,0.90185546875,0.9036638140678406,0.9993448853492737
25,0.92333984375,0.9222118854522705,0.9992516040802002
26,0.046966552734375,0.06296651810407639,0.9999938607215881
27,0.7412109375,0.7301870584487915,0.9888082146644592
