layer,final_vs_top1,final_vs_topk,top1_vs_topk
1,0.60888671875,0.6348714828491211,0.9863544702529907
2,0.6962890625,0.39494627714157104,0.5861358046531677
3,0.57763671875,0.654303252696991,0.9633001089096069
4,0.153564453125,0.3731825351715088,0.9559550881385803
5,0.7626953125,0.7614055871963501,0.9949771761894226
6,0.79736328125,0.800086259841919,0.9977967143058777
7,0.78955078125,0.7909102439880371,0.9982929229736328
8,0.79833984375,0.801950991153717,0.9935787916183472
9,0.806640625,0.8119049072265625,0.9943894147872925
10,0.80517578125,0.8109006881713867,0.9947896003723145
11,0.84716796875,0.849393904209137,0.9986517429351807
12,0.875,0.8747580051422119,0.998740553855896
13,0.8720703125,0.8915194272994995,0.9862884283065796
14,0.8818359375,0.8968132734298706,0.9855822324752808
15,0.8369140625,0.8406796455383301,0.9974384903907776
16,0.8408203125,0.8581172227859497,0.9945114850997925
17,0.904296875,0.9072864651679993,0.9983091354370117
18,0.9013671875,0.9009420871734619,0.9993800520896912
19,0.89501953125,0.9049213528633118,0.9987573623657227
20,0.89990234375,0.9002257585525513,0.9993827939033508
21,0.93212890625,0.9328155517578125,0.9996680617332458
22,0.9375,0.9378811120986938,0.999015748500824
23,0.923828125,0.9398757219314575,0.9936137199401855
24,0.9609375,0.9607007503509521,0.9995681047439575
25,0.9482421875,0.9493403434753418,0.9984606504440308
26,0.02197265625,0.07183798402547836,0.9977330565452576
27,0.72021484375,0.7601088285446167,0.9789178967475891
