layer,final_vs_top1,final_vs_topk,top1_vs_topk
1,0.63818359375,0.6490411162376404,0.9922181367874146
2,0.6240234375,0.6227123737335205,1.0002350807189941
3,0.55517578125,0.6243473291397095,0.9826122522354126
4,0.099365234375,0.22489282488822937,0.9862178564071655
5,0.71044921875,0.7253199815750122,0.9929412007331848
6,0.7763671875,0.7771313190460205,0.9991891384124756
7,0.75634765625,0.7565309405326843,0.9980610013008118
8,0.81103515625,0.8225033283233643,0.989831268787384
9,0.84033203125,0.8411430716514587,0.9988315105438232
10,0.85205078125,0.8527641296386719,0.9995561838150024
11,0.8525390625,0.8699896335601807,0.9910836219787598
12,0.8759765625,0.8774842619895935,0.9992901086807251
13,0.82861328125,0.8504453897476196,0.9928513765335083
14,0.87548828125,0.8799419403076172,0.9977553486824036
15,0.8798828125,0.8900374174118042,0.992646336555481
16,0.92041015625,0.921942949295044,0.9988759756088257
17,0.89453125,0.9128109216690063,0.9933516979217529
18,0.89697265625,0.8974749445915222,0.9999507069587708
19,0.8681640625,0.906197190284729,0.9894022941589355
20,0.9150390625,0.916494607925415,0.9992295503616333
21,0.94189453125,0.9453579187393188,0.9986580610275269
22,0.93994140625,0.9400395154953003,0.9999457597732544
23,0.94677734375,0.9472407698631287,0.998836874961853
24,0.95361328125,0.953398585319519,0.9998986721038818
25,0.88818359375,0.9158961772918701,0.9853628873825073
26,0.724609375,0.10778561234474182,0.15485388040542603
27,0.71630859375,0.7448955774307251,0.9973427057266235
