layer,final_vs_top1,final_vs_topk,top1_vs_topk
1,0.6435546875,0.6440780758857727,1.0000462532043457
2,0.681640625,0.6818603277206421,0.9998377561569214
3,0.5771484375,0.6538205146789551,0.9673031568527222
4,0.81201171875,0.5746117830276489,0.7273231148719788
5,0.822265625,0.8224875330924988,0.9997967481613159
6,0.84033203125,0.8421037197113037,0.9980847835540771
7,0.79638671875,0.7980327606201172,0.9992995262145996
8,0.80224609375,0.8195680379867554,0.9925732612609863
9,0.822265625,0.8231378793716431,0.9996814727783203
10,0.8603515625,0.8606648445129395,0.9986615777015686
11,0.88330078125,0.8828966617584229,0.9997748732566833
12,0.88232421875,0.8859530091285706,0.9983959197998047
13,0.880859375,0.881335973739624,0.9993674159049988
14,0.8603515625,0.8611134886741638,0.9977021217346191
15,0.88671875,0.8877496719360352,0.999605655670166
16,0.7939453125,0.8470181226730347,0.9870845079421997
17,0.861328125,0.8666658401489258,0.9973641633987427
18,0.89208984375,0.893815279006958,0.9999277591705322
19,0.89306640625,0.9080619812011719,0.9957881569862366
20,0.87353515625,0.8742160201072693,0.9998273253440857
21,0.91064453125,0.9098482131958008,0.9996771812438965
22,0.865234375,0.866119921207428,0.9999123215675354
23,0.9150390625,0.9160699844360352,0.9992226362228394
24,0.88232421875,0.8817858695983887,0.998395562171936
25,0.90576171875,0.904423713684082,0.9978058934211731
26,0.8349609375,0.1501970887184143,0.19872301816940308
27,0.6318359375,0.42896509170532227,0.6106411814689636
