layer,final_vs_top1,final_vs_topk,top1_vs_topk
1,0.65087890625,0.651292085647583,1.000078797340393
2,0.67626953125,0.6767137050628662,0.99944669008255
3,0.56103515625,0.6637704372406006,0.9594064950942993
4,0.144775390625,0.2611358165740967,0.9892902374267578
5,0.78564453125,0.7859780788421631,0.9995007514953613
6,0.79736328125,0.8031641840934753,0.9969019293785095
7,0.7724609375,0.7735702991485596,1.0000600814819336
8,0.78955078125,0.7922175526618958,0.9994435906410217
9,0.8056640625,0.8085346817970276,0.994712769985199
10,0.84326171875,0.8439306616783142,0.9988242983818054
11,0.869140625,0.8733658790588379,0.9966639280319214
12,0.86181640625,0.8662704229354858,0.9962865710258484
13,0.869140625,0.8754495978355408,0.9972076416015625
14,0.86572265625,0.8718822002410889,0.9921833872795105
15,0.875,0.8763810396194458,0.9958623051643372
16,0.86376953125,0.866024374961853,0.9988510608673096
17,0.9072265625,0.9104636907577515,0.9963240623474121
18,0.88134765625,0.8885257244110107,0.9953498244285583
19,0.8056640625,0.8932067155838013,0.969753086566925
20,0.91455078125,0.9156639575958252,0.9994910955429077
21,0.91943359375,0.9249362945556641,0.9966094493865967
22,0.80859375,0.8538658022880554,0.976863443851471
23,0.9365234375,0.9360843896865845,1.000389575958252
24,0.91748046875,0.9175263047218323,0.9998207688331604
25,0.8623046875,0.8994654417037964,0.9730784893035889
26,0.00969696044921875,0.040092937648296356,0.9991952180862427
27,0.71923828125,0.7638658285140991,0.9711275696754456
