layer,final_vs_top1,final_vs_topk,top1_vs_topk
1,0.66064453125,0.6612509489059448,0.9995893836021423
2,0.6064453125,0.6066243648529053,0.9998764395713806
3,0.5478515625,0.6280930042266846,0.9665369987487793
4,0.126708984375,0.29399973154067993,0.9725286960601807
5,0.7490234375,0.7502622604370117,0.9989736080169678
6,0.77685546875,0.7777832746505737,0.9995324015617371
7,0.802734375,0.8034089803695679,0.9996354579925537
8,0.80126953125,0.804236888885498,0.9963319897651672
9,0.82763671875,0.8307481408119202,0.9959597587585449
10,0.83935546875,0.839285671710968,0.9994137287139893
11,0.87353515625,0.8742640018463135,0.9989292025566101
12,0.82763671875,0.8454738855361938,0.9922568798065186
13,0.89208984375,0.8928999900817871,0.9982331991195679
14,0.87841796875,0.8793070316314697,0.9980133771896362
15,0.87646484375,0.8767170906066895,0.9960540533065796
16,0.91064453125,0.9109374284744263,0.9999968409538269
17,0.93798828125,0.9374129772186279,0.9980502128601074
18,0.89306640625,0.8981888294219971,0.9973409175872803
19,0.89208984375,0.9239027500152588,0.991769015789032
20,0.912109375,0.9210199117660522,0.9971493482589722
21,0.94775390625,0.9481813907623291,0.9994637966156006
22,0.9365234375,0.9363632202148438,1.000066876411438
23,0.94140625,0.9414993524551392,0.9998307228088379
24,0.951171875,0.9511960744857788,0.9996994733810425
25,0.927734375,0.9249371290206909,0.9981410503387451
26,-0.00027441978454589844,0.024385925382375717,0.9992742538452148
27,0.74609375,0.757270336151123,0.9953100085258484
