layer,final_vs_top1,final_vs_topk,top1_vs_topk
1,0.66455078125,0.662209153175354,0.9988929033279419
2,0.63232421875,0.6323871612548828,0.999922513961792
3,0.5322265625,0.6192827820777893,0.9567054510116577
4,0.2098388671875,0.3497772812843323,0.9820057153701782
5,0.78076171875,0.7804017066955566,0.9997348785400391
6,0.7890625,0.7923566699028015,0.9990841746330261
7,0.79931640625,0.8012719750404358,0.999470055103302
8,0.8125,0.8124825954437256,0.9981967210769653
9,0.82177734375,0.8217083215713501,0.9993935227394104
10,0.82421875,0.8248924016952515,0.99960857629776
11,0.87353515625,0.8737162351608276,0.998397171497345
12,0.8671875,0.86834317445755,0.9996136426925659
13,0.88037109375,0.8823133111000061,0.9982869625091553
14,0.88330078125,0.8880969882011414,0.9963159561157227
15,0.87744140625,0.8840466737747192,0.9976077079772949
16,0.9111328125,0.9137523174285889,0.9990984201431274
17,0.92626953125,0.9276559352874756,0.9995001554489136
18,0.9033203125,0.9048749208450317,0.9997934103012085
19,0.9140625,0.9299561381340027,0.9946675300598145
20,0.8857421875,0.8859554529190063,0.999965488910675
21,0.9521484375,0.9536566734313965,0.9991052746772766
22,0.94970703125,0.9495910406112671,1.0000414848327637
23,0.916015625,0.9165635108947754,0.9998694658279419
24,0.943359375,0.9433056116104126,1.000093698501587
25,0.94189453125,0.9465419054031372,0.9990319013595581
26,-0.021820068359375,0.001614270731806755,0.9997601509094238
27,0.79443359375,0.8096494674682617,0.9980390667915344
