layer,final_vs_top1,final_vs_topk,top1_vs_topk
1,0.6552734375,0.6562528014183044,0.99998939037323
2,0.70068359375,0.7010821104049683,0.9996806979179382
3,0.5576171875,0.6528130769729614,0.9545292854309082
4,0.1258544921875,0.271273136138916,0.980617880821228
5,0.73046875,0.7321627736091614,0.9995116591453552
6,0.78955078125,0.7956541180610657,0.9972673058509827
7,0.76025390625,0.7636687755584717,0.9986653923988342
8,0.79833984375,0.8016484975814819,0.9964597225189209
9,0.80029296875,0.8003066182136536,0.9988837242126465
10,0.7841796875,0.786391019821167,0.9984256029129028
11,0.859375,0.8638372421264648,0.9966304302215576
12,0.86572265625,0.8670495748519897,0.9969611763954163
13,0.89111328125,0.903647780418396,0.9878837466239929
14,0.88330078125,0.8892554640769958,0.9939494132995605
15,0.87060546875,0.8758960962295532,0.9976161122322083
16,0.8447265625,0.8480687141418457,0.9947954416275024
17,0.92041015625,0.9077975749969482,0.9792772531509399
18,0.876953125,0.9004406929016113,0.9921258091926575
19,0.91357421875,0.9230661988258362,0.9939048290252686
20,0.86376953125,0.876900315284729,0.9960381388664246
21,0.95068359375,0.9530620574951172,0.9994983077049255
22,0.947265625,0.9473087787628174,0.9999579787254333
23,0.939453125,0.9433503746986389,0.9904793500900269
24,0.9326171875,0.9335096478462219,0.9995850324630737
25,0.88134765625,0.9160789847373962,0.9860691428184509
26,0.04461669921875,0.07366946339607239,0.9992536306381226
27,0.73095703125,0.7461388111114502,0.9979704022407532
