layer,final_vs_top1,final_vs_topk,top1_vs_topk
1,0.6708984375,0.6713605523109436,0.9999373555183411
2,0.66357421875,0.6656189560890198,0.9993257522583008
3,0.52587890625,0.592477560043335,0.9789159297943115
4,0.1923828125,0.3326890170574188,0.9826765656471252
5,0.7626953125,0.7641725540161133,0.9997719526290894
6,0.80322265625,0.8070964813232422,0.9979786276817322
7,0.77734375,0.778203010559082,0.9995754957199097
8,0.81787109375,0.8148179054260254,0.9963998794555664
9,0.818359375,0.8223384618759155,0.9921869039535522
10,0.84619140625,0.8489595651626587,0.9986799955368042
11,0.87451171875,0.8785697221755981,0.9971421360969543
12,0.8515625,0.867548406124115,0.9939886927604675
13,0.85302734375,0.8627834320068359,0.9961841702461243
14,0.8583984375,0.8762524724006653,0.9884689450263977
15,0.85546875,0.8552594780921936,0.9992653727531433
16,0.92822265625,0.9290087819099426,0.9994115829467773
17,0.92041015625,0.9208749532699585,0.9997151494026184
18,0.916015625,0.9170247316360474,0.9994562268257141
19,0.8486328125,0.9357884526252747,0.9444434642791748
20,0.84716796875,0.853126049041748,0.9978216886520386
21,0.93017578125,0.9299318790435791,0.9998579025268555
22,0.8486328125,0.8875869512557983,0.9794216156005859
23,0.92724609375,0.9274708032608032,0.9998797178268433
24,0.91552734375,0.9176356792449951,0.9979636669158936
25,0.91064453125,0.9085655212402344,0.996569037437439
26,-0.0184173583984375,-0.004558684304356575,0.9998301267623901
27,0.69970703125,0.7109605073928833,0.9638152122497559
