layer,final_vs_top1,final_vs_topk,top1_vs_topk
1,0.66552734375,0.6655265092849731,0.9991903305053711
2,0.57666015625,0.5765266418457031,0.9998401999473572
3,0.6796875,0.6680611968040466,0.9961186051368713
4,0.7861328125,0.6472442150115967,0.8564082384109497
5,0.71044921875,0.714399516582489,0.999170184135437
6,0.80419921875,0.806524932384491,0.9995235204696655
7,0.82080078125,0.8213064074516296,0.9993400573730469
8,0.78759765625,0.7892487049102783,0.9991707801818848
9,0.8408203125,0.840564489364624,0.9998745918273926
10,0.83837890625,0.8393995761871338,0.9988600015640259
11,0.8251953125,0.8280200958251953,0.998051106929779
12,0.87158203125,0.8728184700012207,0.9983898401260376
13,0.8505859375,0.8501818180084229,0.9999251365661621
14,0.8486328125,0.8491886854171753,0.9992235898971558
15,0.87939453125,0.8800602555274963,0.9994527697563171
16,0.89697265625,0.8971797227859497,0.9995949268341064
17,0.89404296875,0.8980739116668701,0.9979724884033203
18,0.8828125,0.8865020275115967,0.99876469373703
19,0.91943359375,0.9184726476669312,0.9996802806854248
20,0.88623046875,0.8883026242256165,0.9993185997009277
21,0.92333984375,0.9218285083770752,0.9988681674003601
22,0.93017578125,0.9297744035720825,0.9999646544456482
23,0.92431640625,0.9237133264541626,0.9985824823379517
24,0.87353515625,0.9001098871231079,0.9903883934020996
25,0.9228515625,0.9220022559165955,0.9982039928436279
26,0.039581298828125,0.05974242836236954,0.999870777130127
27,0.75537109375,0.6857640147209167,0.9290261268615723
