layer,final_vs_top1,final_vs_topk,top1_vs_topk
1,0.65478515625,0.6524483561515808,0.9983456134796143
2,0.69140625,0.6770454049110413,0.9867404699325562
3,0.54833984375,0.6540237069129944,0.9492694735527039
4,0.1129150390625,0.19403839111328125,0.9934343099594116
5,0.71435546875,0.7139413356781006,0.9982985258102417
6,0.779296875,0.7786813974380493,0.9995487332344055
7,0.77685546875,0.7771869897842407,0.9996922612190247
8,0.7666015625,0.7682597637176514,0.9989326596260071
9,0.8037109375,0.8031538724899292,0.9977160692214966
10,0.7880859375,0.7885012626647949,1.0000004768371582
11,0.826171875,0.8274327516555786,0.9992110729217529
12,0.8525390625,0.852820634841919,0.9997606873512268
13,0.81103515625,0.8620501756668091,0.9781054258346558
14,0.87744140625,0.8795586824417114,0.9987800121307373
15,0.90966796875,0.9094484448432922,0.99795001745224
16,0.9140625,0.9147887825965881,0.998774528503418
17,0.93310546875,0.9344235062599182,0.9992474317550659
18,0.8974609375,0.8991174697875977,0.9988730549812317
19,0.90625,0.9218704700469971,0.9961262941360474
20,0.8349609375,0.835969090461731,0.9996540546417236
21,0.935546875,0.9353829026222229,1.0001174211502075
22,0.9287109375,0.9328972697257996,0.9950432777404785
23,0.94580078125,0.9457865357398987,0.9989661574363708
24,0.96044921875,0.9620317220687866,0.9994460344314575
25,0.9013671875,0.8999297618865967,0.9969690442085266
26,0.017974853515625,0.05706752836704254,0.9990345239639282
27,0.74072265625,0.7937824726104736,0.9744038581848145
