layer,final_vs_top1,final_vs_topk,top1_vs_topk
1,0.7578125,0.7474250793457031,0.9977548122406006
2,0.7314453125,0.7322402000427246,1.00016450881958
3,0.5634765625,0.6196799278259277,0.9816985726356506
4,0.7861328125,0.7310994863510132,0.9465999603271484
5,0.79443359375,0.7948791980743408,0.9996216297149658
6,0.82275390625,0.8224489688873291,0.9993241429328918
7,0.8212890625,0.8228613138198853,0.9991259574890137
8,0.8251953125,0.8257968425750732,0.9995616674423218
9,0.87451171875,0.8788100481033325,0.9970934391021729
10,0.86376953125,0.8649842739105225,0.998583972454071
11,0.89892578125,0.9001957178115845,0.9996030330657959
12,0.9248046875,0.9250182509422302,1.0000628232955933
13,0.92822265625,0.9290304183959961,0.9988577365875244
14,0.90380859375,0.9089805483818054,0.9970017671585083
15,0.9072265625,0.9103103280067444,0.9984239339828491
16,0.8876953125,0.9028079509735107,0.9866200089454651
17,0.92138671875,0.9212424755096436,1.0001959800720215
18,0.953125,0.9545649290084839,0.9979535341262817
19,0.9501953125,0.950988233089447,0.9995792508125305
20,0.7109375,0.9334540963172913,0.8525909781455994
21,0.94970703125,0.953754186630249,0.9972996115684509
22,0.92724609375,0.928741991519928,0.9989255666732788
23,0.8798828125,0.8796958923339844,0.9992705583572388
24,0.55322265625,0.7760463953018188,0.9383850693702698
25,0.865234375,0.8888043761253357,0.994279146194458
26,0.80029296875,0.8027157187461853,0.9985805749893188
27,0.708984375,0.7183535695075989,0.9570819735527039
