layer,final_vs_top1,final_vs_topk,top1_vs_topk
1,0.623046875,0.6250896453857422,0.9986012578010559
2,0.677734375,0.6780725717544556,0.999586820602417
3,0.5224609375,0.6161573529243469,0.9570611715316772
4,0.1175537109375,0.26471471786499023,0.9806325435638428
5,0.7255859375,0.7271137237548828,0.9995046854019165
6,0.806640625,0.8072251677513123,0.9997631311416626
7,0.79150390625,0.787535548210144,0.998471736907959
8,0.7880859375,0.786506712436676,0.9971702098846436
9,0.7822265625,0.783460259437561,0.9977834224700928
10,0.765625,0.7662081718444824,0.9993453025817871
11,0.88525390625,0.8848376274108887,0.9992331266403198
12,0.87158203125,0.873902440071106,0.9986171722412109
13,0.87646484375,0.8826612830162048,0.9968138933181763
14,0.888671875,0.8906526565551758,0.9987237453460693
15,0.7998046875,0.8327228426933289,0.9832417368888855
16,0.86474609375,0.8664720058441162,0.9991931915283203
17,0.92041015625,0.935117244720459,0.989027202129364
18,0.91259765625,0.9133686423301697,0.999487578868866
19,0.91357421875,0.9246518611907959,0.9968867301940918
20,0.91162109375,0.9114863276481628,0.9997771382331848
21,0.947265625,0.947422206401825,0.9998774528503418
22,0.9521484375,0.952437698841095,0.9996758699417114
23,0.95654296875,0.9576723575592041,0.9985275268554688
24,0.9619140625,0.9617180824279785,0.99985271692276
25,0.95556640625,0.9598867297172546,0.9954978823661804
26,0.003215789794921875,0.026534363627433777,0.9994730949401855
27,0.76025390625,0.784949779510498,0.9950690269470215
