layer,final_vs_top1,final_vs_topk,top1_vs_topk
1,0.63818359375,0.6464652419090271,0.9963535070419312
2,0.59375,0.5944398045539856,0.999862551689148
3,0.666015625,0.6686457395553589,0.9999579191207886
4,0.1351318359375,0.24081216752529144,0.9898298382759094
5,0.701171875,0.7005929946899414,0.9993407130241394
6,0.71923828125,0.7246765494346619,0.9979280233383179
7,0.7626953125,0.7628495693206787,1.0000426769256592
8,0.77734375,0.7788140773773193,0.9996745586395264
9,0.78466796875,0.7872179746627808,0.9998375177383423
10,0.83984375,0.8422561883926392,0.9984257221221924
11,0.8232421875,0.8316380977630615,0.994261622428894
12,0.79052734375,0.8040622472763062,0.9950196146965027
13,0.84619140625,0.8668603301048279,0.9918707013130188
14,0.82421875,0.8252408504486084,0.9992263317108154
15,0.869140625,0.8684950470924377,0.9994514584541321
16,0.908203125,0.9093788862228394,0.9996010661125183
17,0.9345703125,0.9353730082511902,0.9991226196289062
18,0.892578125,0.8933044672012329,0.9998390078544617
19,0.91650390625,0.9311922192573547,0.9965991377830505
20,0.93115234375,0.9312384128570557,0.9998283386230469
21,0.94091796875,0.9412211179733276,1.0001903772354126
22,0.90380859375,0.9047026634216309,0.9994909167289734
23,0.92236328125,0.9229120016098022,1.000052809715271
24,0.92822265625,0.9286291003227234,0.9996411204338074
25,0.9091796875,0.9090931415557861,0.9994348287582397
26,0.033782958984375,0.05867645889520645,0.9997689723968506
27,0.7099609375,0.7244513034820557,0.9966240525245667
