layer,final_vs_top1,final_vs_topk,top1_vs_topk
1,0.67724609375,0.6767655611038208,0.999592661857605
2,0.62451171875,0.624616265296936,0.9987626075744629
3,0.53955078125,0.634943962097168,0.9568219184875488
4,0.116455078125,0.2319520115852356,0.9882912635803223
5,0.77587890625,0.7784712314605713,0.9987533092498779
6,0.771484375,0.7717228531837463,0.9996518492698669
7,0.74462890625,0.7452181577682495,0.9980574250221252
8,0.7958984375,0.798896312713623,0.9968142509460449
9,0.82470703125,0.824426531791687,0.9998899102210999
10,0.8291015625,0.8309555053710938,0.9983600974082947
11,0.85986328125,0.8726613521575928,0.9946110248565674
12,0.8759765625,0.8767197728157043,0.9998791813850403
13,0.87548828125,0.8777986764907837,0.9993548393249512
14,0.87841796875,0.8780192136764526,0.998454749584198
15,0.87841796875,0.8790944814682007,0.9988608360290527
16,0.91015625,0.9103658199310303,0.9999325275421143
17,0.91943359375,0.9192126989364624,0.9999300837516785
18,0.88623046875,0.8866393566131592,0.9993295669555664
19,0.8994140625,0.8995909094810486,0.9987457394599915
20,0.9072265625,0.9146746397018433,0.9958490133285522
21,0.919921875,0.920768141746521,1.0000191926956177
22,0.92138671875,0.9210146069526672,0.9990447759628296
23,0.93359375,0.933484673500061,1.0000911951065063
24,0.9423828125,0.9431154131889343,0.9997898936271667
25,0.91943359375,0.9176688194274902,0.9983237981796265
26,0.72607421875,0.14210942387580872,0.16307052969932556
27,0.7373046875,0.7614485025405884,0.9961296319961548
