layer,final_vs_top1,final_vs_topk,top1_vs_topk
1,0.669921875,0.6759194135665894,0.9986186623573303
2,0.58544921875,0.5859861969947815,0.9997233748435974
3,0.6484375,0.6511631608009338,0.9997720122337341
4,0.78369140625,0.6711598634719849,0.8858441710472107
5,0.73095703125,0.7352666854858398,0.9938920140266418
6,0.82080078125,0.8210843801498413,0.9995864629745483
7,0.81884765625,0.8181664347648621,0.9998599290847778
8,0.802734375,0.8056212663650513,0.9988420009613037
9,0.85546875,0.857887327671051,0.9987618923187256
10,0.8125,0.8125677108764648,0.9999924898147583
11,0.8076171875,0.8269690275192261,0.9914649724960327
12,0.88623046875,0.8861693143844604,0.9995871186256409
13,0.85009765625,0.851962685585022,0.999178946018219
14,0.865234375,0.8659453392028809,0.997995913028717
15,0.8935546875,0.8944423198699951,0.9991296529769897
16,0.90087890625,0.9010058045387268,0.9996861219406128
17,0.91015625,0.9133110642433167,0.9968768358230591
18,0.87451171875,0.8775171041488647,0.9991657733917236
19,0.916015625,0.9155700206756592,0.9988121390342712
20,0.87841796875,0.9085285067558289,0.9895634651184082
21,0.94384765625,0.9446713924407959,0.9993495941162109
22,0.935546875,0.9351212382316589,0.9999738335609436
23,0.931640625,0.9312471151351929,0.9999204874038696
24,0.88232421875,0.8892936706542969,0.9961056709289551
25,0.92138671875,0.9212453365325928,0.9997889399528503
26,0.054107666015625,0.07332614064216614,0.9999438524246216
27,0.73681640625,0.7032361626625061,0.9705821871757507
