layer,final_vs_top1,final_vs_topk,top1_vs_topk
1,0.6728515625,0.6759916543960571,0.9949923157691956
2,0.61083984375,0.60997474193573,1.0002211332321167
3,0.64794921875,0.647185206413269,0.9994220733642578
4,0.08880615234375,0.21451005339622498,0.9845836162567139
5,0.724609375,0.724958598613739,0.9995771050453186
6,0.78369140625,0.7832093238830566,0.9993201494216919
7,0.78955078125,0.7891244292259216,0.9999226331710815
8,0.7841796875,0.7908225655555725,0.9923194646835327
9,0.82861328125,0.8291909098625183,0.9994519948959351
10,0.84228515625,0.8421903848648071,0.9997560381889343
11,0.8603515625,0.8584758043289185,0.9979538917541504
12,0.859375,0.8607162833213806,0.9995251893997192
13,0.88330078125,0.888233482837677,0.9964298009872437
14,0.86767578125,0.8688441514968872,0.9992673397064209
15,0.87744140625,0.8782981634140015,0.997713565826416
16,0.88427734375,0.8856195211410522,0.9994629621505737
17,0.92724609375,0.9277993440628052,0.9989696741104126
18,0.8828125,0.886688768863678,0.9976308345794678
19,0.85107421875,0.9032799601554871,0.985849916934967
20,0.921875,0.9233161211013794,0.9985986948013306
21,0.94384765625,0.9454998970031738,0.9988090991973877
22,0.923828125,0.9235812425613403,1.0001202821731567
23,0.93310546875,0.9327001571655273,0.9999005794525146
24,0.951171875,0.9508144855499268,0.9999351501464844
25,0.92822265625,0.9285612106323242,0.9995254278182983
26,-0.0014019012451171875,0.020167283713817596,0.9993489980697632
27,0.77099609375,0.791079044342041,0.9971809983253479
