github_num,perplexity
1,2.9463140964508057
2,3.565683364868164
3,2.167363405227661
4,3.6515796184539795
5,5.066982269287109
6,363.2234191894531
7,2.585740804672241
8,1.8156638145446777
9,3.064960241317749
10,1.922088384628296
11,3.6333837509155273
12,1.661004900932312
13,3.88067364692688
14,1.9932897090911865
15,2.858520030975342
16,12.43639850616455
17,2.9492969512939453
18,70.80780792236328
19,4.8472208976745605
20,1.8390284776687622
21,4.780992031097412
22,337.2545471191406
23,3.237262010574341
24,1.4103254079818726
25,2.292984962463379
26,2.565436601638794
27,177.47109985351562
28,2.1326913833618164
29,2.5603954792022705
30,1.5120147466659546
31,2.9331154823303223
32,2.476287841796875
33,2.9123497009277344
34,2.3904900550842285
35,2.518664836883545
36,10.79703426361084
37,6.143560886383057
38,30.151386260986328
39,8.681241035461426
40,53.337581634521484
41,2156.6513671875
42,1.6547445058822632
43,1.2741087675094604
44,8.686949729919434
45,2.5003159046173096
46,2.9741454124450684
47,5.353185176849365
48,1.6475938558578491
