english_num,perplexity,chunks
1,3.444647789001465,1
1,3.4744412899017334,1
1,3.54028582572937,1
1,3.7061593532562256,1
1,3.7552449703216553,1
1,3.6353323459625244,1
1,2.57854962348938,1
1,3.148247480392456,1
1,2.83493709564209,1
1,2.4566235542297363,1
1,2.7594075202941895,1
1,2.612053155899048,1
1,4.631933212280273,1
1,3.8266026973724365,1
1,2.736691951751709,1
1,2.982517719268799,1
1,2.916956901550293,1
1,3.5407865047454834,1
1,3.2720541954040527,1
1,3.120675802230835,1
1,3.1677839756011963,1
1,3.3301138877868652,1
1,3.1774110794067383,1
1,3.387580394744873,1
1,2.972036600112915,1
1,2.494272470474243,1
1,3.151700973510742,1
1,3.271855354309082,1
1,3.0394232273101807,1
1,2.9787051677703857,1
1,3.8767850399017334,1
1,3.185537338256836,1
1,2.456810235977173,1
1,3.2898671627044678,1
1,3.813072919845581,1
1,3.3590264320373535,1
1,3.176271677017212,1
1,2.7077817916870117,1
1,3.3287925720214844,1
1,3.9113783836364746,1
1,3.739051342010498,1
1,3.484280824661255,1
1,3.747296094894409,1
1,3.210775136947632,1
1,3.3129119873046875,1
1,2.935838460922241,1
1,3.6203413009643555,1
1,4.026053428649902,1
1,4.06086540222168,1
1,3.4950757026672363,1
1,2.931450605392456,1
1,3.757277727127075,1
1,4.076677322387695,1
1,3.6764872074127197,1
1,3.5382180213928223,1
1,3.2711448669433594,1
1,4.055950164794922,1
1,3.76101016998291,1
1,4.470165729522705,1
1,2.945464611053467,1
1,3.0163795948028564,1
1,4.0922417640686035,1
1,3.016900062561035,1
1,3.24104380607605,1
1,3.84826922416687,1
1,3.5404934883117676,1
1,2.7643041610717773,1
1,3.593883752822876,1
1,3.2762820720672607,1
1,2.941056728363037,1
1,2.710256338119507,1
1,3.132854700088501,1
1,3.4595274925231934,1
1,3.264216184616089,1
1,2.7107560634613037,1
1,3.3806169033050537,1
1,3.8208842277526855,1
1,2.384364366531372,1
1,2.6610732078552246,1
1,4.026305198669434,1
1,4.094665050506592,1
1,2.905097007751465,1
1,3.1168088912963867,1
1,2.9125003814697266,1
1,2.7681515216827393,1
1,2.942674160003662,1
1,3.71696138381958,1
1,3.2559750080108643,1
1,3.563113212585449,1
1,3.283132791519165,1
1,3.9249372482299805,1
1,3.237668514251709,1
1,3.671922445297241,1
1,4.150616645812988,1
1,3.789092779159546,1
1,3.459059476852417,1
1,4.105779647827148,1
