french-qa_num,perplexity
1,8.646332740783691
2,5.556136608123779
3,6.667828559875488
4,4.133828163146973
5,5.773555755615234
6,6.5454840660095215
7,4.9929094314575195
8,6.3353800773620605
9,5.167485237121582
10,5.955697059631348
11,8.76686954498291
12,7.416260719299316
13,5.626955509185791
14,7.978997230529785
15,5.9421539306640625
16,6.60479736328125
17,6.100645065307617
18,7.108245372772217
19,7.032817363739014
20,4.2674736976623535
21,4.558868408203125
22,4.167129993438721
23,5.876364231109619
24,5.301825046539307
25,5.332403182983398
26,5.575928688049316
27,5.5894317626953125
28,3.94873046875
29,5.717623233795166
30,5.277924537658691
31,4.56294584274292
32,3.9775493144989014
33,5.650020599365234
34,4.799142360687256
35,5.937862873077393
36,5.286585330963135
37,5.068761348724365
38,5.710968971252441
39,4.627946376800537
40,5.7864670753479
41,5.463176250457764
42,4.466395854949951
43,6.193273544311523
44,5.123283863067627
45,5.983523368835449
46,5.928475379943848
47,3.517967939376831
48,7.719569683074951
49,5.166007041931152
50,6.275318622589111
51,6.304067611694336
52,6.1174702644348145
53,4.879342079162598
54,5.913092613220215
55,4.965839862823486
56,6.176318168640137
57,5.216549396514893
58,4.793164253234863
59,5.9675421714782715
60,7.338395118713379
61,5.560657501220703
62,8.597776412963867
63,6.230377197265625
64,5.064151287078857
65,6.63706636428833
66,6.072071552276611
67,5.987351417541504
68,6.890915870666504
69,4.382488250732422
70,6.38446569442749
71,5.657632350921631
72,5.60465669631958
73,5.609384059906006
74,5.9499616622924805
75,5.784921169281006
76,7.285309791564941
77,6.938506126403809
78,5.331625938415527
79,6.674283027648926
80,4.868646144866943
81,5.528623104095459
82,4.812404155731201
83,4.917231559753418
84,5.588456630706787
85,4.836029052734375
86,7.095251083374023
87,6.844147682189941
88,5.300311088562012
89,6.864476680755615
90,5.883772373199463
91,6.5435991287231445
92,4.814515590667725
93,5.180630207061768
94,7.382166862487793
95,7.99531888961792
96,5.892841815948486
97,5.757571697235107
98,6.685259819030762
99,6.243143081665039
100,5.211555004119873
101,5.120290756225586
102,7.276434421539307
103,4.753007888793945
104,4.356425762176514
105,4.774780750274658
106,5.686835289001465
107,6.3086161613464355
108,5.357673645019531
109,6.54810094833374
110,5.19723653793335
111,6.983829498291016
112,6.971962928771973
113,6.6031694412231445
114,6.171671390533447
115,7.605161666870117
116,5.612881183624268
117,6.467978477478027
118,5.608417987823486
119,5.41326379776001
120,4.732788562774658
121,5.257192134857178
122,5.403855323791504
123,6.66859245300293
124,5.818612098693848
125,9.815644264221191
126,5.636119842529297
127,6.073983192443848
128,6.5742506980896
129,4.761538028717041
130,7.094954967498779
131,5.162210941314697
132,3.5565435886383057
133,7.093238353729248
134,4.43747091293335
135,5.008909225463867
136,6.9609575271606445
137,4.660390377044678
138,7.121840000152588
139,4.99261474609375
140,4.315810203552246
141,5.299811840057373
142,7.297091007232666
143,4.966444969177246
144,5.498505115509033
145,5.525487899780273
146,5.213623046875
147,4.986006736755371
148,6.086710453033447
149,6.348519802093506
150,4.83814001083374
151,6.045413017272949
152,4.808688163757324
153,4.792862415313721
154,6.051164627075195
155,5.270334243774414
156,5.746041774749756
157,5.193843364715576
158,4.422244071960449
159,7.216912269592285
160,6.770134925842285
161,6.414437294006348
162,5.094513893127441
163,3.9056169986724854
164,5.923901557922363
165,6.661900043487549
166,5.668087482452393
167,5.872048854827881
168,6.66118860244751
169,5.565279006958008
170,6.947405815124512
171,7.462276458740234
172,7.041479110717773
173,5.5010600090026855
174,6.007259845733643
175,6.414107799530029
176,6.103492259979248
177,5.283242702484131
178,7.099166393280029
179,8.547892570495605
180,5.819011688232422
181,5.118355751037598
182,6.837619781494141
183,4.661503314971924
184,4.579179286956787
185,5.958585739135742
186,3.3449063301086426
187,3.265159845352173
188,6.387882709503174
189,5.73842191696167
190,6.35053014755249
191,10.357234954833984
192,6.952435493469238
193,5.249982833862305
194,3.8869500160217285
195,4.2874298095703125
196,6.798885822296143
197,7.886516571044922
198,5.597766876220703
199,6.268632888793945
200,7.394721984863281
201,4.785157680511475
202,5.656860828399658
203,7.2789788246154785
204,5.38096284866333
205,5.136251926422119
206,8.859485626220703
207,7.3332438468933105
208,9.610477447509766
209,7.989979267120361
210,6.381048202514648
211,7.732504367828369
212,5.466657638549805
213,7.3844685554504395
214,4.840027332305908
215,6.6068196296691895
216,7.429654121398926
217,5.521139621734619
218,5.7050323486328125
219,8.047835350036621
220,5.440934181213379
221,5.269153118133545
222,5.711423873901367
223,5.386714935302734
224,6.268680095672607
225,5.554553985595703
226,6.916382312774658
227,6.6005425453186035
228,7.414453983306885
229,6.227982521057129
230,5.251216411590576
231,6.046528339385986
232,5.71662712097168
233,7.3310017585754395
234,4.656330108642578
235,5.198721408843994
236,4.774524688720703
237,6.6239824295043945
238,5.510377883911133
239,9.93895435333252
240,6.374617576599121
241,7.128222942352295
242,6.808067798614502
243,5.1273193359375
244,7.255303382873535
245,5.192855358123779
246,5.649074077606201
247,5.208752632141113
248,5.850972652435303
249,3.456167221069336
250,5.485538482666016
251,5.475503444671631
252,5.1566853523254395
253,5.24177885055542
254,5.128823280334473
255,5.931595325469971
256,5.4433722496032715
257,5.6324334144592285
258,5.718580722808838
259,5.048705577850342
260,7.86577033996582
261,5.142865180969238
262,4.41985559463501
263,6.026942729949951
264,6.146068572998047
265,8.431753158569336
266,6.502241611480713
267,5.544675827026367
268,6.138928413391113
269,4.457159042358398
270,6.853946208953857
271,5.010833740234375
272,6.310160160064697
273,5.293866157531738
274,5.4384636878967285
275,5.506954193115234
276,6.43237829208374
277,8.339258193969727
278,10.167954444885254
279,4.487561225891113
280,5.795934677124023
281,4.977250099182129
282,6.042341709136963
283,4.390684127807617
284,4.951703071594238
285,3.8484461307525635
286,4.400051116943359
287,3.204683303833008
288,4.271047115325928
289,6.742231845855713
290,5.125649452209473
291,4.872671604156494
292,5.314249038696289
293,7.6807026863098145
294,5.658367156982422
295,7.539325714111328
296,7.0681538581848145
297,4.641651630401611
298,8.5642728805542
299,8.345650672912598
300,10.188027381896973
301,7.137154579162598
302,7.769114017486572
303,9.137273788452148
304,7.949127674102783
305,7.433325290679932
306,7.315033435821533
307,11.064188957214355
308,8.744705200195312
309,6.023067951202393
310,9.06786823272705
311,6.912710189819336
312,7.494462966918945
313,7.025728225708008
314,10.131909370422363
315,6.404505252838135
316,11.087389945983887
317,7.129143238067627
318,10.030119895935059
319,8.702021598815918
320,12.486376762390137
321,9.57021427154541
322,9.976006507873535
323,8.30798053741455
324,7.025669574737549
325,9.262779235839844
326,10.589029312133789
327,6.671181678771973
328,7.475371837615967
329,7.178077220916748
330,12.302882194519043
331,8.328060150146484
332,6.745753288269043
333,5.612698554992676
334,7.678705215454102
335,7.490808010101318
336,7.520552635192871
337,9.00263786315918
338,11.44080924987793
339,8.611946105957031
340,8.678258895874023
341,8.193613052368164
342,8.979304313659668
343,8.543197631835938
344,7.716043949127197
345,7.331684112548828
346,8.934165954589844
347,8.892948150634766
348,12.281004905700684
349,12.730574607849121
350,7.716813087463379
