chinese_num,perplexity
1,5.807042121887207
2,4.858850479125977
3,13.173795700073242
4,12.619145393371582
5,6.57018518447876
6,4.070330619812012
7,6.83522367477417
8,7.008633136749268
9,22.293949127197266
10,4.942824840545654
11,7.624536991119385
12,39.35719299316406
13,3.722297430038452
14,11.153298377990723
15,20.927518844604492
16,4.49552583694458
17,28.910783767700195
18,19.957712173461914
19,9.553954124450684
20,15.993062973022461
21,8.910296440124512
22,9.396035194396973
23,7.395169734954834
24,9.103243827819824
25,18.871850967407227
26,11.53785228729248
27,3.832385778427124
28,6.554626941680908
29,23.438491821289062
30,5.254522323608398
31,13.105205535888672
32,18.375852584838867
33,7.171849727630615
34,10.567851066589355
35,4.344429016113281
36,11.995137214660645
37,13.472582817077637
38,10.970970153808594
39,12.267955780029297
40,14.309988975524902
41,7.902952671051025
42,9.915266990661621
43,8.694551467895508
44,11.750096321105957
45,5.913779258728027
46,2.490398406982422
47,4.5570878982543945
48,26.63631248474121
49,6.216460227966309
50,10.298255920410156
51,9.90440845489502
52,11.993916511535645
53,14.781206130981445
54,78.4525146484375
55,6.3164777755737305
56,14.21122932434082
57,4.536630153656006
58,13.086446762084961
59,4.043691158294678
60,11.160541534423828
61,16.795991897583008
62,6.814363479614258
63,20.046344757080078
64,15.709442138671875
65,6.25238037109375
66,6.378320217132568
67,2.7869412899017334
68,4.522002220153809
69,14.360136985778809
70,2.195162296295166
71,5.464865684509277
72,20.403915405273438
73,6.660580158233643
74,6.7001800537109375
75,5.548962593078613
76,4.919801712036133
77,4.96041202545166
78,10.8482666015625
79,14.941638946533203
80,7.4717793464660645
81,6.50745153427124
82,7.328381061553955
83,8.632923126220703
84,9.53864860534668
85,5.3161540031433105
86,22.482097625732422
87,4.356888771057129
88,15.061717987060547
89,3.784721612930298
90,9.099696159362793
91,5.351326942443848
92,4.709049701690674
93,8.869434356689453
94,13.329192161560059
95,11.788586616516113
96,13.939728736877441
97,9.99770736694336
98,11.824978828430176
99,9.59953498840332
100,8.058008193969727
101,4.415079593658447
102,2.3117706775665283
103,3.997837781906128
104,8.056357383728027
105,11.954248428344727
106,7.850564956665039
107,9.223798751831055
108,10.133213996887207
109,2.933894395828247
110,4.23512077331543
