english_num,perplexity,chunks
1,3.480290412902832,1
1,3.536224126815796,1
1,3.5765650272369385,1
1,3.77950382232666,1
1,3.836352825164795,1
1,3.696335554122925,1
1,2.604600429534912,1
1,3.187566041946411,1
1,2.8829729557037354,1
1,2.489786148071289,1
1,2.7794761657714844,1
1,2.630305051803589,1
1,4.684530735015869,1
1,3.891294002532959,1
1,2.752924919128418,1
1,3.0047624111175537,1
1,2.9494993686676025,1
1,3.5579888820648193,1
1,3.323871374130249,1
1,3.148833751678467,1
1,3.193575859069824,1
1,3.365403413772583,1
1,3.243326425552368,1
1,3.446622610092163,1
1,3.0118396282196045,1
1,2.530965566635132,1
1,3.18937611579895,1
1,3.3188159465789795,1
1,3.0545523166656494,1
1,3.002138376235962,1
1,3.87454891204834,1
1,3.2274973392486572,1
1,2.489459753036499,1
1,3.3257088661193848,1
1,3.863476276397705,1
1,3.4329235553741455,1
1,3.2001776695251465,1
1,2.7416000366210938,1
1,3.3848962783813477,1
1,3.953551769256592,1
1,3.831230878829956,1
1,3.528959274291992,1
1,3.786184549331665,1
1,3.213536262512207,1
1,3.348325490951538,1
1,2.9826855659484863,1
1,3.664153814315796,1
1,4.077558517456055,1
1,4.09933614730835,1
1,3.5453550815582275,1
1,2.958418130874634,1
1,3.8081347942352295,1
1,4.149508953094482,1
1,3.7191970348358154,1
1,3.586313009262085,1
1,3.3147146701812744,1
1,4.131790637969971,1
1,3.7955992221832275,1
1,4.512753009796143,1
1,2.9761295318603516,1
1,3.05076003074646,1
1,4.129330158233643,1
1,3.04187273979187,1
1,3.2807364463806152,1
1,3.8817930221557617,1
1,3.557342052459717,1
1,2.7905428409576416,1
1,3.638686418533325,1
1,3.3189525604248047,1
1,2.9770357608795166,1
1,2.731858491897583,1
1,3.15954327583313,1
1,3.504950761795044,1
1,3.2896525859832764,1
1,2.7256920337677,1
1,3.4197380542755127,1
1,3.8768672943115234,1
1,2.3879950046539307,1
1,2.677643299102783,1
1,4.086686611175537,1
1,4.165613651275635,1
1,2.9527676105499268,1
1,3.1512839794158936,1
1,2.9497785568237305,1
1,2.798253297805786,1
1,2.9923737049102783,1
1,3.7701618671417236,1
1,3.3254315853118896,1
1,3.620628595352173,1
1,3.3174283504486084,1
1,4.003876686096191,1
1,3.2658090591430664,1
1,3.729497194290161,1
1,4.217276573181152,1
1,3.8444454669952393,1
1,3.4877936840057373,1
1,4.123574256896973,1
