github_num,perplexity
1,2.9231202602386475
2,3.5224733352661133
3,2.0595099925994873
4,3.5524275302886963
5,5.094453811645508
6,350.2666015625
7,2.5544931888580322
8,1.805538296699524
9,3.0331614017486572
10,1.8971612453460693
11,3.5919387340545654
12,1.6462186574935913
13,3.8014791011810303
14,1.980239748954773
15,2.8526017665863037
16,11.96319580078125
17,2.8816704750061035
18,69.9823989868164
19,4.9322357177734375
20,1.818465232849121
21,4.743776321411133
22,317.5992431640625
23,3.208329916000366
24,1.4067564010620117
25,2.244656562805176
26,2.5318732261657715
27,147.1498260498047
28,2.139052629470825
29,2.5386438369750977
30,1.5078264474868774
31,2.920391082763672
32,2.4406895637512207
33,2.915858268737793
34,2.3591229915618896
35,2.479811429977417
36,10.610092163085938
37,6.061702728271484
38,29.992042541503906
39,8.123764038085938
40,50.08245849609375
41,1912.202880859375
42,1.6402391195297241
43,1.2647502422332764
44,8.604358673095703
45,2.4845621585845947
46,2.9206018447875977
47,5.3253397941589355
48,1.6263002157211304
