github_num,perplexity
1,2.8886802196502686
2,3.558027744293213
3,2.039506435394287
4,3.4617693424224854
5,5.046309947967529
6,337.9080810546875
7,2.5429606437683105
8,1.7945468425750732
9,2.938443899154663
10,1.8964123725891113
11,3.5597503185272217
12,1.6337932348251343
13,3.719780445098877
14,1.9636571407318115
15,2.860041379928589
16,11.760001182556152
17,2.834029197692871
18,68.4868392944336
19,4.936359405517578
20,1.8172409534454346
21,4.696583271026611
22,268.8963623046875
23,3.172335147857666
24,1.3992904424667358
25,2.2674667835235596
26,2.5190770626068115
27,157.90492248535156
28,2.1267058849334717
29,2.5346899032592773
30,1.5020555257797241
31,2.9465367794036865
32,2.4447834491729736
33,2.898106098175049
34,2.3460426330566406
35,2.449313163757324
36,10.348416328430176
37,6.162229537963867
38,29.442358016967773
39,8.023163795471191
40,48.66037368774414
41,1747.1099853515625
42,1.6336220502853394
43,1.2594819068908691
44,8.802560806274414
45,2.468834161758423
46,2.8834919929504395
47,5.256591796875
48,1.614335060119629
