chinese_num,perplexity
1,5.983996868133545
2,5.0932536125183105
3,14.137163162231445
4,12.934064865112305
5,6.690028190612793
6,4.186771869659424
7,7.177468776702881
8,7.138542175292969
9,23.104656219482422
10,5.397215366363525
11,7.857800483703613
12,42.051937103271484
13,3.921529531478882
14,11.45758056640625
15,21.612184524536133
16,4.672643661499023
17,30.42074203491211
18,20.196264266967773
19,10.017510414123535
20,16.64137077331543
21,9.1643705368042
22,9.744461059570312
23,7.7372307777404785
24,9.314640045166016
25,19.538009643554688
26,11.819851875305176
27,4.451230049133301
28,6.856851577758789
29,24.36396026611328
30,5.4215874671936035
31,13.605113983154297
32,19.558330535888672
33,7.297760009765625
34,11.048491477966309
35,4.529595375061035
36,12.58834171295166
37,14.085768699645996
38,11.375042915344238
39,12.8377103805542
40,15.102513313293457
41,8.043402671813965
42,10.218121528625488
43,9.056136131286621
44,12.405040740966797
45,6.3857951164245605
46,2.675130605697632
47,4.961069583892822
48,28.575693130493164
49,6.512851715087891
50,10.845155715942383
51,10.413824081420898
52,12.732499122619629
53,15.755229949951172
54,106.71678161621094
55,6.503146171569824
56,15.115084648132324
57,4.659998893737793
58,13.628332138061523
59,4.23491907119751
60,11.6344575881958
61,17.47079849243164
62,7.0011162757873535
63,20.72551727294922
64,16.80103874206543
65,6.751171112060547
66,6.6828765869140625
67,2.862060070037842
68,4.784818649291992
69,14.778989791870117
70,2.6207149028778076
71,5.829406261444092
72,21.614002227783203
73,6.872771739959717
74,6.877862930297852
75,5.93267297744751
76,5.056328773498535
77,5.069106101989746
78,11.053486824035645
79,16.395050048828125
80,7.784733295440674
81,6.830185413360596
82,7.640219211578369
83,9.097938537597656
84,9.940485000610352
85,5.564813137054443
86,23.399518966674805
87,4.532201766967773
88,15.437207221984863
89,4.0566935539245605
90,9.323627471923828
91,5.523318767547607
92,4.8835015296936035
93,9.208013534545898
94,13.699402809143066
95,12.2503662109375
96,14.74404525756836
97,10.3199462890625
98,12.341450691223145
99,9.883609771728516
100,8.287064552307129
101,4.841514587402344
102,2.5401828289031982
103,4.996161460876465
104,8.23304557800293
105,12.197225570678711
106,8.00907039642334
107,9.532782554626465
108,10.491930961608887
109,3.075157403945923
110,4.333619594573975
